id,name,description
4643,School Office,"Education Finance Software, Education HR, Education ERP Suites, K-12 Student Information Systems"
4644,SchoolBrains,"Assessment, K-12 Student Information Systems"
4645,SchoolStatus,"Classroom Messaging, School Management"
4646,Schoolzilla,K-12 Student Information Systems
4647,SciNote,"Scientific Data Management System (SDMS), Lab Inventory Management, Electronic Lab Notebook (ELN)"
4648,SciShield,"Lab Inventory Management, Occupational Health and Safety (OHS), Inspection Management, Environmental Health and Safety"
4649,ScienceLogic SL1 Platform,"Network Monitoring, AIOps Platforms, Cloud Infrastructure Monitoring"
4650,Scikiq: Comprehensive Data Management Platform,Data Fabric
4651,Scispot,"Lab Inventory Management, Electronic Lab Notebook (ELN), LIMS, Scientific Data Management System (SDMS)"
4652,Scoop,"Desk Booking, Space Management, HR Compliance, Digital Wayfinding, Time \\u0026 Attendance, Ride Sharing, Meeting Room Booking Systems, Visitor Management, Hybrid Enablement"
4653,Scopito,Drone Analytics
4654,Scopus,Reference Management
4655,Scoring.One,Other Analytics
4656,Scout APM,"Application Performance Monitoring (APM), Bug Tracking"
4657,ScoutDNS,DNS Security Solutions
4658,Scrape.do,Data Extraction
4659,ScrapeHero,Data Extraction Services
4660,ScrapeStorm,Other Analytics
4661,Scrapeak,Data Extraction Services
4662,Screaming Frog Services,SEO Services
4663,Screenful,"Project Management Tools, Software Development Analytics Tools, Marketing Analytics, Data Visualization"
4664,Screenloop,"Video Interviewing, Talent Intelligence, Diversity Recruiting"
4665,Scribble Maps,"Location Intelligence, GIS, Route Planning"
4666,Scrimba,"Online Course Providers, Technical Skills Development"
4667,Scrubby,Email Verification
4668,Scrunch,Influencer Marketing Platforms
4669,Scrutinizer,Network Traffic Analysis (NTA)
4670,ScyllaDB,"Key Value Databases, Database as a Service (DBaaS), Wide Column Database"
4671,Seagate Cloud Disaster Recovery Service,Disaster Recovery as a Service (DRaaS)
4672,Searchlight.ai,"Talent Intelligence, Reference Check, Talent Assessment, Employee Engagement"
4673,Seascape for Notes,Structured Data Archiving and Application Retirement
4674,Seclore Data-Centric Security Platform,"Digital Rights Management (DRM), Sensitive Data Discovery, Cloud File Security, Data-Centric Security, Cloud Data Security, Cloud Email Security, Mobile Data Security, Endpoint Protection, Email Encryption"
4675,Seclore Email Encryption Plus,"Digital Rights Management (DRM), Cloud Email Security, Email Encryption, Data-Centric Security"
4676,Seclore Inbound Data Protection,"Digital Rights Management (DRM), Data-Centric Security, Cloud Email Security, Email Encryption"
4677,Secoda,"Active Metadata Management, Data Governance, Machine Learning Data Catalog, Data Fabric, DataOps Platforms, Sensitive Data Discovery"
4678,Second Street,"Sweepstakes, Lead Capture, Email Marketing"
4679,Secure Privacy,"Consent Management Platform (CMP), Cookie Tracking"
4680,SecureAge Security Suite,"Email Encryption, Encryption, Database Security"
4681,SecureAuth Identity Platform,"Zero Trust Networking, Customer Identity and Access Management (CIAM), Risk-Based Authentication (RBA), Multi-Factor Authentication (MFA), Single Sign-On (SSO), Identity and Access Management (IAM), Passwordless Authentication"
4682,SecureBridge,Other IT Security
4683,SecureCRT,Terminal Emulator
4684,"SecureDocs Virtual Data Room, an Onit Product",Virtual Data Room
4685,SecureLink Customer Connect,Remote Support
4686,SecureZIP,Encryption
4687,Secureworks Taegis ManagedXDR,Managed Detection and Response (MDR)
4688,Securiti,"Vendor Security and Privacy Assessment, Synthetic Data, Sensitive Data Discovery, Consent Management Platform (CMP), Cookie Tracking, Data Breach Notification, Privacy Impact Assessment (PIA), Data Subject Access Request (DSAR), Data Privacy Management, Cloud Compliance, Data Governance, AWS Marketplace"
4689,Security Gateway,"Secure Email Gateway, Email Anti-spam, Cloud Email Security"
4690,SecurityScorecard,"Vendor Security and Privacy Assessment, Third Party \\u0026 Supplier Risk Management, IT Risk Management"
4691,SecurityTrails API,DNS Security Solutions
4692,Securonix Security Operations and Analytics Platform,"Cloud Security Monitoring and Analytics, Network Traffic Analysis (NTA), User and Entity Behavior Analytics (UEBA), Security Orchestration, Automation, and Response (SOAR), Security Information and Event Management (SIEM), Identity Threat Detection and Response (ITDR)"
4693,Secuvy AI,"Consent Management Platform (CMP), Privacy Impact Assessment (PIA), Data Subject Access Request (DSAR), Data Privacy Management, Data Breach Notification, Cookie Tracking, Sensitive Data Discovery"
4694,Sedna,"Email Management, Shared Inbox, Email, Email Client, Employee Communications, Business Instant Messaging"
4695,Seeking Alpha,Investment Portfolio Management
4696,Seekwell,"Customer Data Platform (CDP), Reverse ETL"
4697,Seeq,"Manufacturing Intelligence, IoT Analytics Platforms, Predictive Analytics, Time Series Intelligence"
4698,Seeqle,Recruitment Marketing
4699,Seers,"Privacy Policy Generator, Consent Management Platform (CMP), Cookie Tracking, Data Breach Notification, Privacy Impact Assessment (PIA), Data Subject Access Request (DSAR)"
4700,Segment,"Consent Management Platform (CMP), Data Subject Access Request (DSAR), Data Privacy Management, Data Governance, Customer Data Platform (CDP), E-Commerce Data Integration, Reverse ETL"
4701,Segment SEO,SEO Services
4702,Seldon,"Data Science and Machine Learning Platforms, MLOps Platforms"
4703,Select Star,"Active Metadata Management, Data Governance, Machine Learning Data Catalog"
4704,Selerix,Benefits Administration
4705,Selfr,Data Visualization
4706,Semantrum,Media Monitoring
4707,Semarchy xDM,Master Data Management (MDM)
4708,Sematext Cloud,"Observability Solution Suites, Enterprise Monitoring, Server Monitoring, Log Monitoring, Database Monitoring, Digital Experience Monitoring (DEM), Website Monitoring, Cloud Infrastructure Monitoring, IT Alerting, Container Monitoring, Log Analysis, Application Performance Monitoring (APM), Network Monitoring"
4709,Semrush Content Marketplace,Content Writing Services
4710,SenseIoT,IoT Analytics Platforms
4711,Sensitive Content Manager,Board Management
4712,SensorCloud,"IoT Device Management Platforms, IoT Analytics Platforms"
4713,Sensors Data,Other Analytics
4714,Sensu,"Container Monitoring, Hardware Monitoring, Cloud Infrastructure Monitoring, Database Monitoring, Network Monitoring"
4715,Sentic Technologies,"Cross-Channel Advertising, Social Media Advertising, Display Advertising, Search Advertising"
4716,Sentieo by AlphaSense,Financial Research
4717,SentinelOne Singularity Cloud,Cloud Workload Protection Platforms
4718,SentinelOne Singularity RemoteOps,Digital Forensics
4719,SentricHR,"Human Resource Management Systems, Workforce Management, Benefits Administration, Core HR, Payroll, Applicant Tracking Systems (ATS), Training Management Systems"
4720,Seqera,"AWS Marketplace, Scientific Data Management System (SDMS), Pharma and Biotech"
4721,Sequel Data Access,Other Analytics
4722,Sequel Pro,"Database Management Systems (DBMS), SQL Integrated Development Environments (IDE)"
4723,Serand,"Talent Intelligence, Talent Assessment, Other Recruiting"
4724,Seraphic Web Security,"Browser Isolation, Website Security, Data Loss Prevention (DLP)"
4725,SerpApi,SEO Tools
4726,Service Pro® Software,Field Service Management
4727,ServiceNow - Custom Data Actions,Genesys AppFoundry Marketplace
4728,ServiceNow Cloud Observability (formerly LightStep),"Container Monitoring, Application Performance Monitoring (APM), Cloud Infrastructure Monitoring, Log Monitoring, Enterprise Monitoring, Database Monitoring, Observability Solution Suites"
4729,ServiceNow Connector,Genesys AppFoundry Marketplace
4730,ServiceNow ESG Management,"Environmental, Social, and Governance (ESG) Reporting"
4731,Session,"Webinar, Virtual Event Platforms"
4732,Sestek Speech Analytics,Speech Analytics
4733,Shaip Cloud,"Data Labeling, Data De-Identification, Machine Learning Data Catalog"
4734,ShareDo,Legal Case Management
4735,ShareFile Virtual Data Room,Virtual Data Room
4736,SharePlex,"On-Premise Data Integration, Data Replication"
4737,SharePoint Timeline,Other Design
4738,ShareVault,Virtual Data Room
4739,Sharenote,Mental Health
4740,SharpeSoft Estimator,"Bid Management, Construction Estimating"
4741,Sheetgo,"Spreadsheets, Google Workspace Administration"
4742,Shelf,Tool Tracking
4743,Shift Marketing Automotive,Automotive Marketing
4744,Shimadzu LabSolutions,"LIMS, Scientific Data Management System (SDMS)"
4745,ShipHawk,"Multicarrier Parcel Management Solutions, Freight Management, Shipping, Warehouse Management"
4746,ShippingChimp.com,Last Mile Delivery
4747,Shipsy,"3PL, Freight Management, Supply Chain Visibility, Multicarrier Parcel Management Solutions, Route Planning, Shipping, Transportation Management Systems (TMS), Last Mile Delivery"
4748,Shipyard,"Reverse ETL, DataOps Platforms, Big Data Integration Platforms, ETL Tools"
4749,Shivaami,"Cloud Migration Services, Google Consulting Services, IT Outsourcing"
4750,Shoeboxed,Expense Management
4751,ShoppingScraper,"Online Marketplace Optimization Tools, Data Extraction, Brand Protection"
4752,Short-me,URL Shortener
4753,Shortlyst,"Talent Intelligence, Recruiting Automation"
4754,Shotstack,Other Development
4755,Shoviv Lotus Notes to Office 365 Migration,File Migration
4756,ShredIt File Shredder,Data Destruction
4757,Shrood BI,Data Visualization
4758,Sidecar,"Social Media Advertising, Mobile Advertising, Cross-Channel Advertising, Search Advertising"
4759,SifData Alerts,Sales Intelligence
4760,Sift,"Org Chart, HR Analytics, Employee Engagement"
4761,Sifted Logistics Intelligence (LI),"Multicarrier Parcel Management Solutions, Supply Chain Visibility, Supply Chain Planning, Logistics Intelligence"
4762,Sify Technologies,VoIP
4763,Sightfull,"Revenue Operations \\u0026 Intelligence (RO\\u0026I), Sales Analytics, Analytics Platforms"
4764,Sigma,"Embedded Business Intelligence, Analytics Platforms"
4765,Signal,"Identity Resolution, Data Management Platform (DMP), Tag Management Systems"
4766,Signals,"Account-Based Orchestration Platforms, Buyer Intent Data Providers, Conversational Support, AI Sales Assistant, Conversational Marketing, Chatbots, Bot Platforms, Lead Intelligence, Visitor Identification, Lead Capture, Live Chat, Sales Intelligence, Account-Based Analytics, Account Data Management"
4767,Signals Analytics,Predictive Analytics
4768,Signitic,Email Signature
4769,Signum.AI,"Buyer Intent Data Providers, Lead Intelligence"
4770,Sila,"Remittance \\u0026 Money Transfer, Financial Data APIs, Payment Gateways"
4771,SilkStart,Association Management
4772,Silobreaker,"Dark Web Monitoring, Threat Intelligence, Risk-Based Vulnerability Management"
4773,Silverbucket,Resource Management
4774,Silvertrac Software,Physical Security
4775,Silverware,"Restaurant POS, Cloud Kitchen Management, Restaurant Business Intelligence \\u0026 Analytics, Restaurant Inventory Management, Restaurant Management"
4776,SimCorp Dimension,"Investment Portfolio Management, Real Estate Investment Management"
4777,SimilarTech,Competitive Intelligence
4778,Simon Data,"Customer Data Platform (CDP), Email Marketing"
4779,Simplain Vendor Portal,Retail Management Software
4780,Simple Signature - Electronic Signatures \u0026 Document Generation for Salesforce,Salesforce AppExchange Apps
4781,SimpleDB,"Database as a Service (DBaaS), Data Replication"
4782,SimpleHold,Cryptocurrency Wallets
4783,SimpleSurvey,Survey
4784,SimpleX,Other Analytics
4785,Simply Expenses,Expense Management
4786,Simply Fleet,Fleet Maintenance
4787,Simply Wall St,Investment Portfolio Management
4788,Sinequa,Enterprise Search Software
4789,SingleStore,"Real-time Analytic Database, Relational Databases, Vector Database"
4790,SiriDB,Time Series Databases
4791,Sirius,"Managed IT Services, Cloud Migration Services, Artificial Intelligence Consulting, ITSM Tool Implementation, Consulting, and Managed Services, IBM Security VARs, IBM Server VARs, IBM Storage VARs, Amazon Web Services Channel Partners, Vulnerability Assessment Services, Network Security Services, Managed Security Services (MSSP), IT Compliance Services, Data Security Services, Application Security Services, Internet of Things (IoT) Developers, Oracle Database Resellers, Oracle Cloud Application Resellers, Microsoft Office 365 Resellers, Microsoft Dynamics 365 Resellers, Microsoft Azure Resellers, Adobe Channel Partners, Cisco Unified Communications Resellers, Cisco Data Center Resellers, Cisco Cloud Resellers, Other Solution Consulting, IT Strategy Consulting, Digital Transformation Consulting, IoT Consulting Services, IoT Implementation Services, IoT Security Services, AWS Consulting Services"
4792,Sisense,"Embedded Business Intelligence, Analytics Platforms"
4793,Sisu,"Real Estate Activities Management, Brokerage Management"
4794,Site24x7,"AIOps Platforms, Database Monitoring, Website Monitoring, Cloud Infrastructure Monitoring, Cloud Cost Management, Network Management Tools, IT Alerting, Log Analysis, Application Performance Monitoring (APM), Network Monitoring, Data Center Infrastructure Management (DCIM), Observability Solution Suites"
4795,SitePlanner,Contractor Management
4796,SiteRecording by 500apps,Customer Journey Mapping
4797,Sitecore Experience Platform,"Digital Experience Platforms (DXP), Web Content Management, WebOps Platforms"
4798,Sitetracker,Capital Project Management
4799,Sizzle Analytics,Other Analytics
4800,Skalin,Customer Success
4801,Skemaz,Data Visualization
4802,Skillate,"SAP Store, Talent Intelligence, Recruiting Automation, Applicant Tracking Systems (ATS)"
4803,Sku IQ,Inventory Control
4804,Skupos,"Retail Execution, Retail Analytics, Trade Promotion Management"
4805,SkyGlue,Other Analytics
4806,SkyLync,Other Law Enforcement
4807,SkyRoster,Other HR
4808,Skyjed,PLM
4809,SkypeTime,Workforce Management
4810,Skyvia,"iPaaS, ETL Tools, On-Premise Data Integration, Data Replication, Reverse ETL, Data Extraction, Big Data Integration Platforms, Data Mapping, Cloud Migration"
4811,Skyvia Backup,SaaS Backup
4812,Skyward HRMS,Workforce Management
4813,Slack Integration+ for Jira,Productivity Bots
4814,Slack to Microsoft Teams Migration,Cloud Migration
4815,Slack to Teams Migration,File Migration
4816,Sleekr,Core HR
4817,Slemma,Data Visualization
4818,Slice,Restaurant Delivery/Takeout
4819,SlideMight,Presentation
4820,Slideform,Presentation
4821,Slingshot,"Marketing Analytics, Event Planning, Analytics Platforms, Project Collaboration"
4822,Small Library Organizer Pro,Library Management Systems
4823,SmarkLabs,Content Marketing Agencies
4824,Smart Data Medical Claim Management,Healthcare Claims Management
4825,Smart Eye Technology,"Biometric Authentication, Multi-Factor Authentication (MFA)"
4826,SmartBid,"Autodesk Construction Cloud Integration Partners, Bid Management"
4827,SmartCAM,Computer-Aided Manufacturing (CAM)
4828,SmartConnect,"Other Cloud Integration, E-Commerce Data Integration, iPaaS, On-Premise Data Integration"
4829,SmartDocs R5,"Document Management, OCR"
4830,SmartJobs,"Recruitment Marketing, Programmatic Job Advertising"
4831,SmartLink,Global Trade Management
4832,SmartReach.io,"Email Tracking, Sales Engagement"
4833,SmartScout,"Online Marketplace Optimization Tools, E-Commerce Analytics, Retail Analytics"
4834,SmartSearch,"Recruitment Platforms, Candidate Relationship Management, Recruitment Marketing, Applicant Tracking Systems (ATS), Staffing, CRM, Onboarding"
4835,SmartSender.io,"Email Marketing, SMS Marketing, Push Notification"
4836,SmartSurvey,Survey
4837,Smartbi,Data Visualization
4838,Smarter Contact,SMS Marketing
4839,Smarter Ecommerce,"Cross-Channel Advertising, Search Advertising, Retail Intelligence"
4840,Smartlead,Email
4841,Smartproxy,"Proxy Network, Data Extraction, Web Data Providers, E-Commerce Analytics"
4842,Smartwaiver,E-Signature
4843,SnapLogic Intelligent Integration Platform (IIP),"Big Data Integration Platforms, iPaaS, ETL Tools, API Management, On-Premise Data Integration"
4844,SnapMirror Data Replication,"Server Backup, Data Replication"
4845,Snapchat,Social Networks
4846,SnappyData,Event Stream Processing
4847,Snare Central,"Enterprise Monitoring, Database Monitoring, Log Analysis, Security Information and Event Management (SIEM), Log Monitoring"
4848,Snow Commander,"Cloud Management Platforms, ServiceNow Store Apps, Software Asset Management Tools, Operational Risk Management, Unified Endpoint Management (UEM), Enterprise Mobility Management, SAP Store"
4849,SnowMirror,"ServiceNow Store Apps, Data Replication"
4850,Snowflake,"Data Clean Room, Columnar Databases, Big Data Processing and Distribution, Big Data Analytics, Database Management Systems (DBMS), Data Warehouse, Big Data Integration Platforms"
4851,Snowflake Data Exchange,"Data Exchange Platforms, Data as a Service (DaaS)"
4852,Snowplow,"Product Analytics, Big Data Processing and Distribution, Digital Analytics, Data Governance"
4853,Social Animal,Social Media Analytics
4854,Social Hub.AI,"Customer Data Platform (CDP), Marketing Automation"
4855,Social Standards,Market Intelligence
4856,SocialNowa,"Chatbots, Conversational Marketing"
4857,SocialQube,Social Media Listening Tools
4858,Sociomantic,Display Advertising
4859,Socital,"Pop-Up Builder, E-Commerce Personalization, Lead Capture"
4860,Soda,"Data Quality, Data Observability"
4861,SoftNAS Cloud NAS,Enterprise IT Management
4862,SoftTrace,"LIMS, Other Agriculture, Medical QMS, Other Laboratory, Other Life Sciences, MPM and MbM Technology for Process Manufacturing"
4863,Softchoice Corporation,"Google Consulting Services, HubSpot Consulting Services, Microsoft Consulting Services, Salesforce Consulting Services, Managed IT Services, Cloud Migration Services, IBM Security VARs, IBM Server VARs, Vulnerability Assessment Services, Network Security Services, IT Compliance Services, Data Security Services, Application Security Services, Microsoft Azure Resellers, IT Strategy Consulting, Digital Transformation Consulting, Cloud Consulting, AWS Consulting Services"
4864,Softpro,Supervisory Control and Data Acquisition (SCADA)
4865,Software AG Adabas,Database Management Systems (DBMS)
4866,Software AG IoT \u0026 Analytics,Other Product Suites
4867,Software AG Zementis,IoT Analytics Platforms
4868,Software AG webMethods.io B2B,"Business Activity Monitoring, Managed File Transfer (MFT), Big Data Integration Platforms"
4869,Software AG webMethods.io Integration,"iPaaS, Enterprise Service Bus (ESB), On-Premise Data Integration, Cloud Migration"
4870,Sogolytics,Enterprise Feedback Management
4871,Sojern Traveler Platform,Other Digital Advertising
4872,SolarWinds Database Mapper,"Database Management Systems (DBMS), Database Monitoring, Data Warehouse Automation"
4873,SolarWinds SQL Sentry,"Database Monitoring, Database Management Systems (DBMS)"
4874,Solarwinds Database Performance Analyzer,Database Monitoring
4875,Solarwinds Database Performance Monitor,Database Monitoring
4876,Solid Edge,"3D Printing, Computer-Aided Manufacturing (CAM), Simulation \\u0026 CAE, Mechanical Computer-aided Design (MCAD), General-Purpose CAD, Simulation and Test Suite"
4877,SolidView,CAD Viewers
4878,SolidWorks MBD,"Product Data Management (PDM), Specification Management"
4879,SolidWorks Manage,Product Data Management (PDM)
4880,SolidWorks PDM,Product Data Management (PDM)
4881,SolidWorks Product Designer,General-Purpose CAD
4882,Solidatus,"Data Governance, Machine Learning Data Catalog, Active Metadata Management"
4883,Solitics,"Personalization, Customer Journey Analytics, Customer Data Platform (CDP), Marketing Analytics, Attribution, Customer Journey Mapping, Marketing Automation, Proactive Customer Retention"
4884,SolveXia,"Data Preparation, Rebate Management, Business Process Management"
4885,Solvo,"Cloud Security Posture Management (CSPM), Cloud Compliance, Cloud Data Security, Policy Management, Identity and Access Management (IAM)"
4886,Somansa Server-i,Sensitive Data Discovery
4887,SonarList.io,Lead Mining
4888,SonarQube Community Edition for Debian Linux 10 with support by Kurian,AWS Marketplace
4889,SonarQube Community Edition for Red Hat Enterprise Linux 7 with support,AWS Marketplace
4890,SonarQube Community Edition for Red Hat Enterprise Linux 8 with support,AWS Marketplace
4891,SonarQube Community Edition for Ubuntu 16.04 with support by Kurian,AWS Marketplace
4892,Sonia,Student Information Systems (SIS)
4893,Sonrai Security,"Cloud Detection and Response (CDR), Cloud-Native Application Protection Platform (CNAPP), Identity Threat Detection and Response (ITDR), Cloud Security Posture Management (CSPM), Cloud Security Monitoring and Analytics, Cloud Compliance, Cloud Workload Protection Platforms, Cloud Infrastructure Entitlement Management (CIEM)"
4894,Sophos MDR,Managed Detection and Response (MDR)
4895,Sophos Professional Services,"Data Security Services, IT Compliance Services, Managed Security Services (MSSP), Threat Intelligence Services, Vulnerability Assessment Services, Cybersecurity Consulting"
4896,Source Insight,Static Code Analysis
4897,Sourcescrub,"M\\u0026A Software, Financial Research"
4898,Sourcetable,Other Analytics
4899,Sova,"Interview Scheduling, Diversity Recruiting, Technical Skills Screening, Talent Assessment, Video Interviewing, Talent Intelligence"
4900,Soveren,"Sensitive Data Discovery, Cloud Data Security"
4901,Spaceti,Space Management
4902,Spanning Backup,SaaS Backup
4903,Spark SQL,Relational Databases
4904,SparkPredict,Predictive Analytics
4905,SpatialChat,Virtual Workspaces
4906,SpatialKey,Insurance Analytics
4907,Spaulding Ridge,"Salesforce Consulting Services, Managed Services, Quote-to-Cash Consulting, IT Strategy Consulting, Cloud Consulting, Management Consulting, Anaplan Partners, NetSuite Consulting Services"
4908,SpecPDM,"Specification Management, Product Data Management (PDM)"
4909,Specification Intelligence,Punch List
4910,Spectra Visitor Management System,Visitor Management
4911,Spectrum Data Federation,"Data Virtualization, Enterprise Service Bus (ESB)"
4912,Spectrum Discovery,"Machine Learning Data Catalog, Sensitive Data Discovery, Data Governance"
4913,Spectrus Processor,Scientific Data Management System (SDMS)
4914,Speed Kit,"Web Server Accelerator, Web Client Accelerator, Web Accelerator, Content Delivery Network (CDN), SAP Store"
4915,SpeedBase,Desktop Database
4916,Speedbot,Brokerage Trading Platforms
4917,SpeedeHost.Com,"Domain Registration, Virtual Private Servers (VPS)"
4918,SpendHQ,"Accounts Payable (AP) and Spend Analysis, Spend Management"
4919,Spendflo,SaaS Spend Management
4920,Spenmo,"Spend Management, AP Automation, Invoice Management, Expense Management, Remittance \\u0026 Money Transfer"
4921,Speridian Technologies,"Robotic Process Automation (RPA) Consultancy Services, Oracle Database Resellers, Microsoft Consulting Services, Cybersecurity Consulting, Salesforce Consulting Services, HubSpot Consulting Services"
4922,Sphere,Other Analytics
4923,Spiffy,E-Commerce Tools
4924,Spiky,"Conversation Intelligence, Sales Coaching"
4925,Spillman Flex RMS,Police Records Management System (RMS)
4926,SpinFire Enterprise,"CAD Viewers, CAD Data Exchange"
4927,SpinOne,"SaaS Security Posture Management (SSPM) Solutions, Cloud File Security, Cloud Data Security, Data Loss Prevention (DLP), SaaS Backup, Incident Response"
4928,Spira Field Intelligence,Field Service Management
4929,Spire.AI,Data Science and Machine Learning Platforms
4930,Spirion,"Sensitive Data Discovery, File Analysis"
4931,SplashID,Password Manager
4932,Split,"Feature Management, A/B Testing, ALM Software Suites, Continuous Delivery, Configuration Management, Mobile App Optimization"
4933,Splunk APM,"AIOps Platforms, Application Performance Monitoring (APM), Digital Experience Monitoring (DEM), Cloud Infrastructure Monitoring"
4934,Splunk Enterprise,"Enterprise Monitoring, Hardware Monitoring, AIOps Platforms, ServiceNow Store Apps, Log Analysis, Security Information and Event Management (SIEM), Customer Data Platform (CDP)"
4935,Splunk Enterprise Security,Security Information and Event Management (SIEM)
4936,Splunk Infrastructure Monitoring,"Server Monitoring, Log Monitoring, Hardware Monitoring, Cloud Infrastructure Monitoring, Container Monitoring, Log Analysis, Network Monitoring, Enterprise Monitoring, Observability Solution Suites"
4937,Splunk Intelligence Management,"Risk-Based Vulnerability Management, Threat Intelligence, Incident Response, Digital Forensics"
4938,SpokenData,Transcription
4939,SponsorPitch,"Other Sales, Other Event Management"
4940,SpotSource,"Supplier Relationship Management (SRM), Partner Management"
4941,Spotfire,"Stream Analytics, Analytics Platforms"
4942,Spotfire Data Science,"Big Data Analytics, Predictive Analytics, Data Science and Machine Learning Platforms, Text Analysis"
4943,Spotlight Cloud,Database Monitoring
4944,Spreadsheet Server,"Financial Analytics, Tools for ERP, Corporate Performance Management (CPM)"
4945,Spreadsheet.com,"Work Management, Marketing Calendar, Workflow Management, Task Management, Spreadsheets, Project Management, Project Collaboration"
4946,Spring Cloud Data Flow,Event Stream Processing
4947,Springpath,Runtime
4948,Sprinto,"Security Compliance, Cloud Compliance, Cloud Data Security, Third Party \\u0026 Supplier Risk Management"
4949,Sprout Solutions HR,"HR Analytics, Core HR, Time \\u0026 Attendance, Employee Engagement, Earned Wage Access"
4950,Sprouts.ai,"Lead Intelligence, Visitor Identification, Sales Intelligence"
4951,SqlBak,Database Backup
4952,SquarePeg,Recruiting Automation
4953,SquareStack,"Mobile Application Management, Data Visualization"
4954,SquaredUp,"Data Observability, Container Monitoring, IT Alerting, Server Monitoring"
4955,Squiz DXP,"Digital Experience Platforms (DXP), Headless CMS, Website Builder, Web Content Management, Enterprise Search Software"
4956,Stack61,Inventory Control
4957,StackAdapt,"Native Advertising, Demand Side Platform (DSP), Video Advertising, Display Advertising, Cross-Channel Advertising"
4958,StackFuel,Technical Skills Development
4959,StackOne,Unified APIs
4960,Stackby,"No-Code Development Platforms, Project Management, Task Management"
4961,Stacker,No-Code Development Platforms
4962,Stackfield,"Virtual Data Room, Encryption, Audio Conferencing, Video Conferencing, Business Instant Messaging, Project Collaboration, Project Management, Task Management, Work Management"
4963,Stackhero,Database as a Service (DBaaS)
4964,Stacks Data,Disclosure Management
4965,Stagraph,Data Visualization
4966,Stan,Statistical Analysis
4967,Standard Database for Intergraph Smart Reference Data,"Data Governance, Master Data Management (MDM)"
4968,Stanford Classifier,Natural Language Understanding (NLU)
4969,StarBI,Analytics Platforms
4970,StarTree,"Real-time Analytic Database, Columnar Databases, Big Data Analytics, Database Management Systems (DBMS)"
4971,Starburst,"Big Data Analytics, Data Warehouse, Big Data Processing and Distribution"
4972,StarfishETL,"Cloud Migration, ETL Tools, On-Premise Data Integration, iPaaS"
4973,Stark Drones,Blockchain Platforms
4974,Starseed AI,Freelance Platforms
4975,Start.io,"App Monetization Platforms, Mobile Advertising"
4976,StatSocial,"Audience Intelligence Platforms, Social Media Analytics, Brand Intelligence"
4977,Stata,Statistical Analysis
4978,Statflo,"Business Instant Messaging, Communication Platform as a Service, SMS Marketing"
4979,Statsbot,"Productivity Bots, Data Visualization"
4980,Statsig,"Feature Management, A/B Testing, MLOps Platforms"
4981,Statusphere,Influencer Marketing Platforms
4982,Stellar Converter for OST,File Converter
4983,Stellar Data Recovery Professional,File Recovery
4984,Stellar Data Recovery Professional for Mac,File Recovery
4985,Stellar Data Recovery Technician,File Recovery
4986,Stellar Data Recovery for Windows,File Recovery
4987,Stellar Repair for Access,File Recovery
4988,Stellar Repair for Excel,File Recovery
4989,Stellar Repair for MS SQL,File Recovery
4990,Stellar Repair for Outlook,File Recovery
4991,Stellar Repair for Photo,File Recovery
4992,Stellar Repair for Video,File Recovery
4993,Stellar Viewer for OST,"File Converter, File Recovery"
4994,Stibo STEP,"Product Information Management (PIM), Master Data Management (MDM), Customer Data Platform (CDP), Data as a Service (DaaS)"
4995,Stimulsoft BI,Data Visualization
4996,Stingo Sales CRM,CRM
4997,Stonebranch,"SAP Store, Managed File Transfer (MFT), Workload Automation, DataOps Platforms"
4998,Stonefield Query,Data Visualization
4999,StorPool,"Hybrid Cloud Storage Solutions, Block Storage"
5000,Storage Guardian,"File Migration, Disaster Recovery as a Service (DRaaS), Cloud Migration"
5001,Storage Helper,Salesforce AppExchange Apps
5002,StorageCraft Cloud Backup,SaaS Backup
5003,StorageCraft Disaster Recovery,Disaster Recovery as a Service (DRaaS)
5004,StorageCraft File Backup and Recovery,Online Backup
5005,StorageGRID,Object Storage Solutions
5006,Store Leads,Lead Mining
5007,StoreSpy,Mobile App Analytics
5008,Stormly,Product Analytics
5009,Storware Backup and Recovery,"Server Backup, SaaS Backup, PC Backup, Database Backup"
5010,Strac,"Data Loss Prevention (DLP), Encryption, Cloud Data Security, Sensitive Data Discovery"
5011,Stratifyd,"Speech Analytics, Text Analysis, Data Science and Machine Learning Platforms, Analytics Platforms, Feedback Analytics"
5012,Stratigens,HR Analytics
5013,Stratio,Data Fabric
5014,StratoKey,"Data De-Identification, Cloud Access Security Broker (CASB)"
5015,Streaem,"Retail Media Advertising Platforms, Display Advertising"
5016,StreamSets,"Batch Management, Data Extraction, Event Stream Processing, Big Data Integration Platforms, Stream Analytics, ETL Tools, DataOps Platforms"
5017,Streamhub,Other Analytics
5018,Streamkap,"ETL Tools, Data Replication, Data Extraction, Stream Analytics, Event Stream Processing"
5019,Streamscape,Data Fabric
5020,Stripe - Custom Data Actions,Genesys AppFoundry Marketplace
5021,Stripe Connect,"Payment Gateways, Financial Data APIs"
5022,StriveCloud Gamification Platform,Gamification
5023,Struct PIM,Product Information Management (PIM)
5024,Structr,Data Visualization
5025,"Structural, an Augeo company","HR Analytics, Employee Engagement"
5026,StruxureWare,Data Center Infrastructure Management (DCIM)
5027,Student Data System,K-12 Student Information Systems
5028,Studio 3T,"Other Integrated Development Environments (IDE), Database Management Systems (DBMS), Database Comparison"
